sep=,
Subject,Task,ST,STlanguage,TTlanguage,MicroUnitId,LinearRep,Pause,PauseType,Start,End,DurationM,DurationT,FixCountS,FixDurationS,MeanDurationS,FixCountT,FixDurationT,MeanDurationT,FixCountST,FixDurationST,MeanDurationST,FixCountSPause,FixDurationSPause,MeanDurationSPause,FixCountTPause,FixDurationTPause,MeanDurationTPause,FixCountSTPause,FixDurationSTPause,MeanDurationSTPause,Visits,VisitsPause,Saccade,SacaddeAngle,SaccadeSum,SaccadeMean,SaccadePause,SaccadeAnglePause,SaccadeSumPause,SaccadeMeanPause,ins,del
P10_T2,translating,Osbrasileiros,pt,zh,24,,3619,null,93022,93366,344,0,0,0,0.0,1,466,466.0,1,466,466.0,0,0,0.0,1,466,466.0,1,466,466.0,0,null,181.0414317221337,null,181.0414317221337,2.129899196730985,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,25,现在,3619,null,93367,93488,121,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,1,0
P10_T2,translating,Osbrasileiros,pt,zh,26,,3152,null,93489,93489,0,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,27,,3152,null,93490,93881,391,0,1,750,750.0,0,0,0.0,1,750,750.0,1,750,750.0,0,0,0.0,1,750,750.0,0,null,258.9903473104741,null,258.9903473104741,3.0115156664008613,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,28,是[Back][Back][Back]已跻身于世界,3152,null,93882,102069,8187,0,15,5113,340.8666666666667,9,1399,155.44444444444446,24,6512,271.3333333333333,10,1824,182.4,4,724,181.0,14,2548,106.16666666666667,4,null,315.37279527568637+319.6623218335248+249.6177077052027+174.45343218177166+235.05318547086316+790.9399471514888+1202.9073114749947+1370.3087243391542+1477.9056126830292+1112.0310247470616+340.20288064624026+289.9275771636772,null,7878.382520672694,80.39165837421116,null,null,null,null,3,3
P10_T2,translating,Osbrasileiros,pt,zh,29,,3697,null,102070,102070,0,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,30,,3697,null,102071,102630,559,0,1,557,557.0,0,0,0.0,1,557,557.0,1,557,557.0,0,0,0.0,1,557,557.0,0,null,378.6000528261981,null,378.6000528261981,3.824242957840385,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,31,,3697,null,102631,102631,0,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,32,,3697,null,102632,102786,154,0,1,150,150.0,0,0,0.0,1,150,150.0,1,150,150.0,0,0,0.0,1,150,150.0,0,null,355.99578649191903,null,355.99578649191903,3.5599578649191903,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,33,,3697,null,102787,102787,0,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,34,,3697,null,102788,103036,248,0,1,250,250.0,0,0,0.0,1,250,250.0,1,250,250.0,0,0,0.0,1,250,250.0,0,null,317.4476334767673,null,317.4476334767673,3.143045876007597,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,35,,3697,null,103037,103037,0,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,36,,3697,null,103038,103504,466,0,1,466,466.0,0,0,0.0,1,466,466.0,1,466,466.0,0,0,0.0,1,466,466.0,0,null,458.20628542175194,null,458.20628542175194,4.49221848452698,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,37,,3697,null,103505,103520,15,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,38,,3697,null,103521,103597,76,0,1,83,83.0,0,0,0.0,1,83,83.0,1,83,83.0,0,0,0.0,1,83,83.0,0,null,745.2033279582157,null,745.2033279582157,7.234983766584619,null,null,null,null,0,0
